Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kota Baubau,,"295,07",167519,8
Kota Kendari,,"271,8",347381,10
Kabupaten Boalemo,Tilamuta,"2567,36",147038,7
Kabupaten Bone Bolango,Suwawa,"1984,31",158550,18
Kabupaten Gorontalo,Limboto,"2124,6",415198,19
Kabupaten Gorontalo Utara,Kwandang,"1777,02",126581,11
Kabupaten Pohuwato,Marisa,"4244,31",157660,13
Kota Gorontalo,,"79,02",203205,9
Kabupaten Majene,Banggae,"947,84",173844,8
Kabupaten Mamasa,Mamasa,"3005,88",165310,17
Kabupaten Mamuju,Mamuju,"4979,89",278764,11
Kabupaten Mamuju Tengah,Tobadak,"3100,87",135280,5
Kabupaten Pasangkayu,Pasangkayu,"3043,75",193098,12
Kabupaten Polewali Mandar,Polewali,"2022,3",491014,16
Kabupaten Buru,Namlea,"4932,32",130696,10
Kabupaten Buru Selatan,Namrole,"3780,56",72993,6
Kabupaten Kepulauan Aru,Dobo,"8152,42",102272,10
Kabupaten Kepulauan Tanimbar,Saumlaki,"4465,79",122337,10
Kabupaten Maluku Barat Daya,Tiakur,"4581,06",66805,17
Kabupaten Maluku Tengah,Masohi,"7953,81",422065,18
Kabupaten Maluku Tenggara,Langgur,"1031,81",125704,11
Kabupaten Seram Bagian Barat,Piru,"5033,38",208009,11
Kabupaten Seram Bagian Timur,Bula,"6429,88",131707,15
Kota Ambon,,"298,61",375760,5
Kota Tual,,"254,39",84585,5
Kabupaten Halmahera Barat,Jailolo,"1704,2",132427,8
Kabupaten Halmahera Selatan,Labuha,"8148,9",247378,30
Kabupaten Halmahera Tengah,Weda,"2653,76",50164,10
Kabupaten Halmahera Timur,Kota Maba,"6571,37",90924,10
Kabupaten Halmahera Utara,Tobelo,"3896,9",194291,17
Kabupaten Kepulauan Sula,Sanana,"3304,32",110507,12
Kabupaten Pulau Morotai,Daruba,2476,66983,5
Kabupaten Pulau Taliabu,Bobong,"1469,93",56202,8
Kota Ternate,,"111,39",215524,7
Kota Tidore Kepulauan,,"1645,73",111431,8
Kabupaten Biak Numfor,Biak,2602,134650,19
Kabupaten Jayapura,Sentani,"11157,15",166171,19
Kabupaten Keerom,Arso,8390,61623,11
Kabupaten Kepulauan Yapen,Serui Kota,2050,112676,16
